,Addr,Lat,Lon,X,Y,DistFromCenter
0,"47 Həsən bəy Zərdabi, Bakı, Azerbaijan",40.38359682144799,49.80760391139283,3474267.5134297647,5097769.024187201,4000.0
1,"19 Abbas Mirzə Şərifzadə küçəsi, Bakı, Azerbaijan",40.37043326905573,49.80449840836954,3474667.5134297647,5096169.024187201,3939.543120718442
2,"12 Abbas Mirzə Şərifzadə küçəsi, Bakı, Azerbaijan",40.37339089512228,49.80624125709344,3474667.5134297647,5096569.024187201,3794.7331922020553
3,"31/38, Mirali Seyidov, Baku, Azerbaijan",40.37634845724383,49.80798436403668,3474667.5134297647,5096969.024187201,3687.817782917155
4,"60 Matbuat avenue, Baku, Azerbaijan",40.37930595540843,49.80972772923682,3474667.5134297647,5097369.024187201,3622.154055254967
5,"52 Zahid Xəlilov Küçəsi, Bakı, Azerbaijan",40.38226338960414,49.811471352731495,3474667.5134297647,5097769.024187201,3600.0
6,"5B/2 Əhməd Cəmil Küçəsi, Bakı, Azerbaijan",40.385220759819035,49.81321523455831,3474667.5134297647,5098169.024187201,3622.154055254967
7,"273c Şəfayət Mehdiyev Küçəsi, Bakı, Azerbaijan",40.388178066041135,49.814959374754885,3474667.5134297647,5098569.024187201,3687.817782917155
8,"95 Shafayat Mehdiyev, Bakı, Azerbaijan",40.39113530825853,49.81670377335885,3474667.5134297647,5098969.024187201,3794.7331922020553
9,"41 Mosvka prospekti, Bakı, Azerbaijan",40.39409248645923,49.81844843040784,3474667.5134297647,5099369.024187201,3939.543120718442
10,"Unnamed Road, Bakı, Azerbaijan",40.3631851309955,49.80488014389957,3475067.5134297647,5095369.024187201,4000.0
11,"Unnamed Road, Bakı, Azerbaijan",40.366142746410404,49.80662256372373,3475067.5134297647,5095769.024187201,3773.5924528226415
12,"529 Matbuat avenue, Baku 1100, Azerbaijan",40.36910029789513,49.80836524169067,3475067.5134297647,5096169.024187201,3577.7087639996635
13,"Matbuat avenue, Baku, Azerbaijan",40.37205778543775,49.810108177837975,3475067.5134297647,5096569.024187201,3417.6014981270123
14,"23 Zahid Xəlilov Küçəsi, Bakı, Azerbaijan",40.375015209026316,49.81185137220324,3475067.5134297647,5096969.024187201,3298.4845004941285
15,"73 Hüseyn Cavid Prospekti, Bakı, Azerbaijan",40.37797256864891,49.813594824824044,3475067.5134297647,5097369.024187201,3224.9030993194197
16,"85 Hüseyn Cavid Prospekti, Bakı, Azerbaijan",40.38092986429357,49.81533853573802,3475067.5134297647,5097769.024187201,3200.0
17,"129 ул. Академика Шафаята Мехтиева, Bakı, Azerbaijan",40.38388709594836,49.81708250498276,3475067.5134297647,5098169.024187201,3224.9030993194197
18,"İsmayıl bəy Qutqaşınlı, Bakı, Azerbaijan",40.38684426360132,49.81882673259585,3475067.5134297647,5098569.024187201,3298.4845004941285
19,"военный городок Красный Восток, 126, Bakı, Azerbaijan",40.38980136724053,49.820571218614965,3475067.5134297647,5098969.024187201,3417.6014981270123
20,"43 Tbilisi prospekti, Bakı 1065, Azerbaijan",40.39275840685402,49.82231596307771,3475067.5134297647,5099369.024187201,3577.7087639996635
21,"180 akademik həsən əliyev küçəsi, Həsən Əliyev Küçəsi, Bakı, Azerbaijan",40.39571538242981,49.82406096602171,3475067.5134297647,5099769.024187201,3773.5924528226415
22,"101 Cəlil Məmmədquluzadə küçəsi, Bakı 1078, Azerbaijan",40.39867229395599,49.825806227484634,3475067.5134297647,5100169.024187201,4000.0
23,"Unnamed Road, Bakı, Azerbaijan",40.35889480260755,49.807004295155785,3475467.5134297647,5094969.024187201,3959.7979746446663
24,"Unnamed Road, Bakı, Azerbaijan",40.36185234343957,49.80874654426462,3475467.5134297647,5095369.024187201,3687.817782917155
25,"Matbuat avenue, Baku, Azerbaijan",40.36480982034433,49.81048905147732,3475467.5134297647,5095769.024187201,3440.9301068170507
26,"1 Zahid Xəlilov, Bakı, Azerbaijan",40.36776723330988,49.812231816831435,3475467.5134297647,5096169.024187201,3224.9030993194197
