,Address,Distance from center
0,"Mikayıl Müşfiq, Bakı, Azerbaijan",3246.581875998122
1,"K.Səfərəliyeva 27, Azerbaijan",2061.2124923872407
2,"Sabail square, Bakı, Azerbaijan",3615.058854158891
3,"5D Akim Abbasov Küçəsi, Bakı, Azerbaijan",3716.901935752264
4,"Bakı Ağ Şəhər Ofis Binası, 25 Nobel Prospekti, Bakı 1025, Azerbaijan",3744.705898414434
5,"108 Azadlıq prospekti, Bakı 1005, Azerbaijan",3453.5587299524946
6,"Gülbala Əliyev küçəsi, Bakı, Azerbaijan",3656.7447306031486
7,"32 Fətəli Xan Xoyski, Bakı, Azerbaijan",3804.7499850808476
8,"120 Zulfu Adigozalov, Bakı 1009, Azerbaijan",2029.2051673274855
9,"10b Babək Prospekti, Bakı 1025, Azerbaijan",3100.678546816015
10,"Buxta küçəsi, Bakı, Azerbaijan",3544.3814693107456
11,"Yasamal, Bakı, Azerbaijan",3627.6728533013325
12,"4 Hənifə Ələsgərov, Bakı, Azerbaijan",2941.32352573578
13,"62 Neftçilər Prospekti, Bakı 1010, Azerbaijan",1364.7344063952428
14,"Baku City Main Police Department, Bakı, Azerbaijan",2725.4459370079
15,"59 Mərdanov Qardaşları, Bakı, Azerbaijan",1633.9862640527542
16,"ул. Нахчивани 15, кв. 257а, Baku, Azerbaijan",3715.6762506978457
17,"Yuksak Inshaat MTK, Bakı, Azerbaijan",3853.0148118710777
18,"Aydın Məmmədov, Bakı, Azerbaijan",2779.516664930883
19,"Alley of Honor, Parlament Pros, Bakı, Azerbaijan",2593.1471363495502
20,"Süleyman Vəzirov küçəsi, Bakı, Azerbaijan",3861.1419502219505
21,"Unnamed Road, Bakı, Azerbaijan",3737.00285140655
22,"2 Həsən Əliyev Küçəsi, Bakı, Azerbaijan",3752.5321375561316
23,"Fәtәlixan Xoyski 75,, Baku, Azerbaijan",3586.9750913711123
24,"Unnamed Road, Bakı, Azerbaijan",3182.3091321779557
25,"Atatürk prospekti, Bakı, Azerbaijan",3048.4198208179378
26,"White City Boulevard, Bakı, Azerbaijan",2295.844071359526
27,"1 Heydər Əliyev prospekti, Bakı 1000, Azerbaijan",3234.5100951384675
28,"Unnamed Road, Bakı, Azerbaijan",3207.18188212029
29,"127 Nəriman Nərimanov Prospekti, Bakı 1009, Azerbaijan",2097.7123195095182
